n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,spots_per_program,simulations_per_s,study_min_signal,applicants_per_position,minimum_unmatched,study_max_signal,result_file_prefix
14,30,299,13,10,2.142857143,10,0,10.67857143,269,9,Dermatology_ma10_ips13
14,30,299,14,6,2.142857143,10,0,10.67857143,269,5,Dermatology_ma6_ips14
14,30,299,10,13,2.142857143,10,0,10.67857143,269,12,Dermatology_ma13_ips10
14,30,299,20,11,2.142857143,10,0,10.67857143,269,10,Dermatology_ma11_ips20
14,30,299,7,12,2.142857143,10,0,10.67857143,269,11,Dermatology_ma12_ips7
14,30,299,19,10,2.142857143,10,0,10.67857143,269,9,Dermatology_ma10_ips19
14,30,299,17,10,2.142857143,10,0,10.67857143,269,9,Dermatology_ma10_ips17
14,30,299,5,12,2.142857143,10,0,10.67857143,269,11,Dermatology_ma12_ips5
14,30,299,13,9,2.142857143,10,0,10.67857143,269,8,Dermatology_ma9_ips13
292,3068,3753,14,46,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma46_ips14
292,3068,3753,17,39,10.50684932,10,0,1.285273973,685,38,Emergency Medicine_ma39_ips17
292,3068,3753,12,17,10.50684932,10,0,1.285273973,685,16,Emergency Medicine_ma17_ips12
292,3068,3753,11,50,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma50_ips11
292,3068,3753,15,47,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma47_ips15
292,3068,3753,14,6,10.50684932,10,0,1.285273973,685,5,Emergency Medicine_ma6_ips14
292,3068,3753,15,21,10.50684932,10,0,1.285273973,685,20,Emergency Medicine_ma21_ips15
292,3068,3753,20,56,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma56_ips20
292,3068,3753,8,50,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma50_ips8
292,3068,3753,9,25,10.50684932,10,0,1.285273973,685,24,Emergency Medicine_ma25_ips9
292,3068,3753,8,43,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma43_ips8
292,3068,3753,5,26,10.50684932,10,0,1.285273973,685,25,Emergency Medicine_ma26_ips5
292,3068,3753,18,39,10.50684932,10,0,1.285273973,685,38,Emergency Medicine_ma39_ips18
292,3068,3753,5,59,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma59_ips5
292,3068,3753,19,53,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma53_ips19
292,3068,3753,9,26,10.50684932,10,0,1.285273973,685,25,Emergency Medicine_ma26_ips9
292,3068,3753,14,18,10.50684932,10,0,1.285273973,685,17,Emergency Medicine_ma18_ips14
292,3068,3753,14,29,10.50684932,10,0,1.285273973,685,28,Emergency Medicine_ma29_ips14
292,3068,3753,19,25,10.50684932,10,0,1.285273973,685,24,Emergency Medicine_ma25_ips19
292,3068,3753,13,46,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma46_ips13
292,3068,3753,11,32,10.50684932,10,0,1.285273973,685,31,Emergency Medicine_ma32_ips11
292,3068,3753,11,17,10.50684932,10,0,1.285273973,685,16,Emergency Medicine_ma17_ips11
292,3068,3753,10,52,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma52_ips10
292,3068,3753,10,36,10.50684932,10,0,1.285273973,685,35,Emergency Medicine_ma36_ips10
292,3068,3753,13,55,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma55_ips13
292,3068,3753,13,17,10.50684932,10,0,1.285273973,685,16,Emergency Medicine_ma17_ips13
292,3068,3753,12,9,10.50684932,10,0,1.285273973,685,8,Emergency Medicine_ma9_ips12
292,3068,3753,18,24,10.50684932,10,0,1.285273973,685,23,Emergency Medicine_ma24_ips18
292,3068,3753,19,56,10.50684932,10,0,1.285273973,685,40,Emergency Medicine_ma56_ips19
292,3068,3753,17,25,10.50684932,10,0,1.285273973,685,24,Emergency Medicine_ma25_ips17
817,5357,7337,16,53,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma53_ips16
817,5357,7337,17,43,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma43_ips17
817,5357,7337,20,40,6.556915545,10,0,1.496736026,1980,39,Family Medicine_ma40_ips20
817,5357,7337,13,46,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma46_ips13
817,5357,7337,20,21,6.556915545,10,0,1.496736026,1980,20,Family Medicine_ma21_ips20
817,5357,7337,19,51,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma51_ips19
817,5357,7337,12,23,6.556915545,10,0,1.496736026,1980,22,Family Medicine_ma23_ips12
817,5357,7337,9,42,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma42_ips9
817,5357,7337,15,41,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma41_ips15
817,5357,7337,17,16,6.556915545,10,0,1.496736026,1980,15,Family Medicine_ma16_ips17
817,5357,7337,19,16,6.556915545,10,0,1.496736026,1980,15,Family Medicine_ma16_ips19
817,5357,7337,6,46,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma46_ips6
817,5357,7337,5,26,6.556915545,10,0,1.496736026,1980,25,Family Medicine_ma26_ips5
817,5357,7337,8,50,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma50_ips8
817,5357,7337,20,52,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma52_ips20
817,5357,7337,7,54,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma54_ips7
817,5357,7337,19,31,6.556915545,10,0,1.496736026,1980,30,Family Medicine_ma31_ips19
817,5357,7337,14,8,6.556915545,10,0,1.496736026,1980,7,Family Medicine_ma8_ips14
817,5357,7337,20,46,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma46_ips20
817,5357,7337,7,30,6.556915545,10,0,1.496736026,1980,29,Family Medicine_ma30_ips7
817,5357,7337,12,32,6.556915545,10,0,1.496736026,1980,31,Family Medicine_ma32_ips12
817,5357,7337,12,38,6.556915545,10,0,1.496736026,1980,37,Family Medicine_ma38_ips12
817,5357,7337,18,56,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma56_ips18
817,5357,7337,13,44,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma44_ips13
817,5357,7337,15,27,6.556915545,10,0,1.496736026,1980,26,Family Medicine_ma27_ips15
817,5357,7337,13,33,6.556915545,10,0,1.496736026,1980,32,Family Medicine_ma33_ips13
817,5357,7337,5,54,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma54_ips5
817,5357,7337,20,48,6.556915545,10,0,1.496736026,1980,40,Family Medicine_ma48_ips20
817,5357,7337,16,30,6.556915545,10,0,1.496736026,1980,29,Family Medicine_ma30_ips16
758,10941,17131,19,12,14.43403694,10,0,1.614304561,6190,11,Internal Medicine (Categorical)_ma12_ips19
758,10941,17131,10,58,14.43403694,10,0,1.614304561,6190,40,Internal Medicine (Categorical)_ma58_ips10
758,10941,17131,5,8,14.43403694,10,0,1.614304561,6190,7,Internal Medicine (Categorical)_ma8_ips5
758,10941,17131,8,19,14.43403694,10,0,1.614304561,6190,18,Internal Medicine (Categorical)_ma19_ips8
758,10941,17131,5,11,14.43403694,10,0,1.614304561,6190,10,Internal Medicine (Categorical)_ma11_ips5
758,10941,17131,9,49,14.43403694,10,0,1.614304561,6190,40,Internal Medicine (Categorical)_ma49_ips9
758,10941,17131,17,47,14.43403694,10,0,1.614304561,6190,40,Internal Medicine (Categorical)_ma47_ips17
758,10941,17131,15,10,14.43403694,10,0,1.614304561,6190,9,Internal Medicine (Categorical)_ma10_ips15
758,10941,17131,9,50,14.43403694,10,0,1.614304561,6190,40,Internal Medicine (Categorical)_ma50_ips9
758,10941,17131,6,59,14.43403694,10,0,1.614304561,6190,40,Internal Medicine (Categorical)_ma59_ips6
758,10941,17131,19,41,14.43403694,10,0,1.614304561,6190,40,Internal Medicine (Categorical)_ma41_ips19
758,10941,17131,16,20,14.43403694,10,0,1.614304561,6190,19,Internal Medicine (Categorical)_ma20_ips16
758,10941,17131,10,8,14.43403694,10,0,1.614304561,6190,7,Internal Medicine (Categorical)_ma8_ips10
758,10941,17131,6,20,14.43403694,10,0,1.614304561,6190,19,Internal Medicine (Categorical)_ma20_ips6
758,10941,17131,9,30,14.43403694,10,0,1.614304561,6190,29,Internal Medicine (Categorical)_ma30_ips9
758,10941,17131,15,26,14.43403694,10,0,1.614304561,6190,25,Internal Medicine (Categorical)_ma26_ips15
758,10941,17131,5,17,14.43403694,10,0,1.614304561,6190,16,Internal Medicine (Categorical)_ma17_ips5
758,10941,17131,13,17,14.43403694,10,0,1.614304561,6190,16,Internal Medicine (Categorical)_ma17_ips13
758,10941,17131,12,17,14.43403694,10,0,1.614304561,6190,16,Internal Medicine (Categorical)_ma17_ips12
758,10941,17131,5,31,14.43403694,10,0,1.614304561,6190,30,Internal Medicine (Categorical)_ma31_ips5
758,10941,17131,19,11,14.43403694,10,0,1.614304561,6190,10,Internal Medicine (Categorical)_ma11_ips19
758,10941,17131,9,16,14.43403694,10,0,1.614304561,6190,15,Internal Medicine (Categorical)_ma16_ips9
758,10941,17131,14,18,14.43403694,10,0,1.614304561,6190,17,Internal Medicine (Categorical)_ma18_ips14
758,10941,17131,11,35,14.43403694,10,0,1.614304561,6190,34,Internal Medicine (Categorical)_ma35_ips11
758,10941,17131,20,32,14.43403694,10,0,1.614304561,6190,31,Internal Medicine (Categorical)_ma32_ips20
758,10941,17131,14,16,14.43403694,10,0,1.614304561,6190,15,Internal Medicine (Categorical)_ma16_ips14
758,10941,17131,9,40,14.43403694,10,0,1.614304561,6190,39,Internal Medicine (Categorical)_ma40_ips9
758,10941,17131,17,20,14.43403694,10,0,1.614304561,6190,19,Internal Medicine (Categorical)_ma20_ips17
758,10941,17131,12,36,14.43403694,10,0,1.614304561,6190,35,Internal Medicine (Categorical)_ma36_ips12
758,10941,17131,13,8,14.43403694,10,0,1.614304561,6190,7,Internal Medicine (Categorical)_ma8_ips13
13,34,110,10,11,2.615384615,10,0,4.230769231,76,10,Medicine-Emergency Med_ma11_ips10
13,34,110,7,13,2.615384615,10,0,4.230769231,76,12,Medicine-Emergency Med_ma13_ips7
13,34,110,15,10,2.615384615,10,0,4.230769231,76,9,Medicine-Emergency Med_ma10_ips15
13,34,110,15,12,2.615384615,10,0,4.230769231,76,11,Medicine-Emergency Med_ma12_ips15
13,34,110,14,12,2.615384615,10,0,4.230769231,76,11,Medicine-Emergency Med_ma12_ips14
13,34,110,19,5,2.615384615,10,0,4.230769231,76,4,Medicine-Emergency Med_ma5_ips19
13,34,110,14,10,2.615384615,10,0,4.230769231,76,9,Medicine-Emergency Med_ma10_ips14
13,34,110,12,8,2.615384615,10,0,4.230769231,76,7,Medicine-Emergency Med_ma8_ips12
13,34,110,16,12,2.615384615,10,0,4.230769231,76,11,Medicine-Emergency Med_ma12_ips16
13,34,110,14,8,2.615384615,10,0,4.230769231,76,7,Medicine-Emergency Med_ma8_ips14
13,34,110,17,13,2.615384615,10,0,4.230769231,76,12,Medicine-Emergency Med_ma13_ips17
13,34,110,20,8,2.615384615,10,0,4.230769231,76,7,Medicine-Emergency Med_ma8_ips20
13,34,110,7,10,2.615384615,10,0,4.230769231,76,9,Medicine-Emergency Med_ma10_ips7
13,34,110,19,11,2.615384615,10,0,4.230769231,76,10,Medicine-Emergency Med_ma11_ips19
13,34,110,13,13,2.615384615,10,0,4.230769231,76,12,Medicine-Emergency Med_ma13_ips13
13,34,110,5,13,2.615384615,10,0,4.230769231,76,12,Medicine-Emergency Med_ma13_ips5
13,34,110,17,12,2.615384615,10,0,4.230769231,76,11,Medicine-Emergency Med_ma12_ips17
13,34,110,16,6,2.615384615,10,0,4.230769231,76,5,Medicine-Emergency Med_ma6_ips16
13,34,110,9,5,2.615384615,10,0,4.230769231,76,4,Medicine-Emergency Med_ma5_ips9
13,34,110,13,10,2.615384615,10,0,4.230769231,76,9,Medicine-Emergency Med_ma10_ips13
13,34,110,19,12,2.615384615,10,0,4.230769231,76,11,Medicine-Emergency Med_ma12_ips19
13,34,110,17,7,2.615384615,10,0,4.230769231,76,6,Medicine-Emergency Med_ma7_ips17
13,34,110,19,6,2.615384615,10,0,4.230769231,76,5,Medicine-Emergency Med_ma6_ips19
13,34,110,6,8,2.615384615,10,0,4.230769231,76,7,Medicine-Emergency Med_ma8_ips6
13,34,110,7,11,2.615384615,10,0,4.230769231,76,10,Medicine-Emergency Med_ma11_ips7
13,34,110,7,9,2.615384615,10,0,4.230769231,76,8,Medicine-Emergency Med_ma9_ips7
79,398,599,9,34,5.037974684,10,0,1.516455696,201,33,Medicine-Pediatrics_ma34_ips9
79,398,599,20,11,5.037974684,10,0,1.516455696,201,10,Medicine-Pediatrics_ma11_ips20
79,398,599,9,52,5.037974684,10,0,1.516455696,201,40,Medicine-Pediatrics_ma52_ips9
79,398,599,10,52,5.037974684,10,0,1.516455696,201,40,Medicine-Pediatrics_ma52_ips10
79,398,599,13,57,5.037974684,10,0,1.516455696,201,40,Medicine-Pediatrics_ma57_ips13
79,398,599,10,44,5.037974684,10,0,1.516455696,201,40,Medicine-Pediatrics_ma44_ips10
79,398,599,9,33,5.037974684,10,0,1.516455696,201,32,Medicine-Pediatrics_ma33_ips9
79,398,599,5,17,5.037974684,10,0,1.516455696,201,16,Medicine-Pediatrics_ma17_ips5
79,398,599,5,24,5.037974684,10,0,1.516455696,201,23,Medicine-Pediatrics_ma24_ips5
79,398,599,14,59,5.037974684,10,0,1.516455696,201,40,Medicine-Pediatrics_ma59_ips14
79,398,599,7,9,5.037974684,10,0,1.516455696,201,8,Medicine-Pediatrics_ma9_ips7
79,398,599,17,49,5.037974684,10,0,1.516455696,201,40,Medicine-Pediatrics_ma49_ips17
79,398,599,18,14,5.037974684,10,0,1.516455696,201,13,Medicine-Pediatrics_ma14_ips18
79,398,599,14,19,5.037974684,10,0,1.516455696,201,18,Medicine-Pediatrics_ma19_ips14
79,398,599,12,36,5.037974684,10,0,1.516455696,201,35,Medicine-Pediatrics_ma36_ips12
79,398,599,14,5,5.037974684,10,0,1.516455696,201,4,Medicine-Pediatrics_ma5_ips14
79,398,599,10,55,5.037974684,10,0,1.516455696,201,40,Medicine-Pediatrics_ma55_ips10
79,398,599,19,21,5.037974684,10,0,1.516455696,201,20,Medicine-Pediatrics_ma21_ips19
79,398,599,12,29,5.037974684,10,0,1.516455696,201,28,Medicine-Pediatrics_ma29_ips12
79,398,599,16,16,5.037974684,10,0,1.516455696,201,15,Medicine-Pediatrics_ma16_ips16
79,398,599,12,34,5.037974684,10,0,1.516455696,201,33,Medicine-Pediatrics_ma34_ips12
79,398,599,18,51,5.037974684,10,0,1.516455696,201,40,Medicine-Pediatrics_ma51_ips18
79,398,599,11,36,5.037974684,10,0,1.516455696,201,35,Medicine-Pediatrics_ma36_ips11
79,398,599,6,22,5.037974684,10,0,1.516455696,201,21,Medicine-Pediatrics_ma22_ips6
79,398,599,17,51,5.037974684,10,0,1.516455696,201,40,Medicine-Pediatrics_ma51_ips17
79,398,599,11,37,5.037974684,10,0,1.516455696,201,36,Medicine-Pediatrics_ma37_ips11
79,398,599,12,6,5.037974684,10,0,1.516455696,201,5,Medicine-Pediatrics_ma6_ips12
79,398,599,16,41,5.037974684,10,0,1.516455696,201,40,Medicine-Pediatrics_ma41_ips16
79,398,599,7,12,5.037974684,10,0,1.516455696,201,11,Medicine-Pediatrics_ma12_ips7
79,398,599,10,40,5.037974684,10,0,1.516455696,201,39,Medicine-Pediatrics_ma40_ips10
329,1600,5964,13,36,4.863221884,10,0,4.531914894,4364,35,Medicine-Preliminary (PGY-1 Only)_ma36_ips13
329,1600,5964,7,42,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma42_ips7
329,1600,5964,19,9,4.863221884,10,0,4.531914894,4364,8,Medicine-Preliminary (PGY-1 Only)_ma9_ips19
329,1600,5964,14,40,4.863221884,10,0,4.531914894,4364,39,Medicine-Preliminary (PGY-1 Only)_ma40_ips14
329,1600,5964,15,49,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma49_ips15
329,1600,5964,5,51,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma51_ips5
329,1600,5964,18,22,4.863221884,10,0,4.531914894,4364,21,Medicine-Preliminary (PGY-1 Only)_ma22_ips18
329,1600,5964,7,12,4.863221884,10,0,4.531914894,4364,11,Medicine-Preliminary (PGY-1 Only)_ma12_ips7
329,1600,5964,15,58,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma58_ips15
329,1600,5964,7,44,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma44_ips7
329,1600,5964,19,48,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma48_ips19
329,1600,5964,17,22,4.863221884,10,0,4.531914894,4364,21,Medicine-Preliminary (PGY-1 Only)_ma22_ips17
329,1600,5964,12,17,4.863221884,10,0,4.531914894,4364,16,Medicine-Preliminary (PGY-1 Only)_ma17_ips12
329,1600,5964,12,53,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma53_ips12
329,1600,5964,8,9,4.863221884,10,0,4.531914894,4364,8,Medicine-Preliminary (PGY-1 Only)_ma9_ips8
329,1600,5964,20,15,4.863221884,10,0,4.531914894,4364,14,Medicine-Preliminary (PGY-1 Only)_ma15_ips20
329,1600,5964,13,21,4.863221884,10,0,4.531914894,4364,20,Medicine-Preliminary (PGY-1 Only)_ma21_ips13
329,1600,5964,7,31,4.863221884,10,0,4.531914894,4364,30,Medicine-Preliminary (PGY-1 Only)_ma31_ips7
329,1600,5964,6,40,4.863221884,10,0,4.531914894,4364,39,Medicine-Preliminary (PGY-1 Only)_ma40_ips6
329,1600,5964,16,41,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma41_ips16
329,1600,5964,16,55,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma55_ips16
329,1600,5964,15,47,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma47_ips15
329,1600,5964,18,9,4.863221884,10,0,4.531914894,4364,8,Medicine-Preliminary (PGY-1 Only)_ma9_ips18
329,1600,5964,9,38,4.863221884,10,0,4.531914894,4364,37,Medicine-Preliminary (PGY-1 Only)_ma38_ips9
329,1600,5964,9,7,4.863221884,10,0,4.531914894,4364,6,Medicine-Preliminary (PGY-1 Only)_ma7_ips9
329,1600,5964,11,56,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma56_ips11
329,1600,5964,6,36,4.863221884,10,0,4.531914894,4364,35,Medicine-Preliminary (PGY-1 Only)_ma36_ips6
329,1600,5964,7,45,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma45_ips7
329,1600,5964,5,6,4.863221884,10,0,4.531914894,4364,5,Medicine-Preliminary (PGY-1 Only)_ma6_ips5
329,1600,5964,19,44,4.863221884,10,0,4.531914894,4364,40,Medicine-Preliminary (PGY-1 Only)_ma44_ips19
91,411,2134,12,13,4.516483516,10,0,5.862637363,1723,12,Medicine-Primary_ma13_ips12
91,411,2134,20,8,4.516483516,10,0,5.862637363,1723,7,Medicine-Primary_ma8_ips20
91,411,2134,15,36,4.516483516,10,0,5.862637363,1723,35,Medicine-Primary_ma36_ips15
91,411,2134,7,36,4.516483516,10,0,5.862637363,1723,35,Medicine-Primary_ma36_ips7
91,411,2134,19,12,4.516483516,10,0,5.862637363,1723,11,Medicine-Primary_ma12_ips19
91,411,2134,8,24,4.516483516,10,0,5.862637363,1723,23,Medicine-Primary_ma24_ips8
91,411,2134,9,48,4.516483516,10,0,5.862637363,1723,40,Medicine-Primary_ma48_ips9
91,411,2134,18,42,4.516483516,10,0,5.862637363,1723,40,Medicine-Primary_ma42_ips18
91,411,2134,9,5,4.516483516,10,0,5.862637363,1723,4,Medicine-Primary_ma5_ips9
91,411,2134,13,53,4.516483516,10,0,5.862637363,1723,40,Medicine-Primary_ma53_ips13
91,411,2134,12,31,4.516483516,10,0,5.862637363,1723,30,Medicine-Primary_ma31_ips12
91,411,2134,6,21,4.516483516,10,0,5.862637363,1723,20,Medicine-Primary_ma21_ips6
91,411,2134,15,32,4.516483516,10,0,5.862637363,1723,31,Medicine-Primary_ma32_ips15
91,411,2134,14,30,4.516483516,10,0,5.862637363,1723,29,Medicine-Primary_ma30_ips14
91,411,2134,14,34,4.516483516,10,0,5.862637363,1723,33,Medicine-Primary_ma34_ips14
91,411,2134,6,40,4.516483516,10,0,5.862637363,1723,39,Medicine-Primary_ma40_ips6
