n_programs,n_applicants,spots_per_program,interviews_per_spot,simulations_per_s,max_applications,study_min_signal,study_max_signal,result_file_prefix
201,7915,10,6,20,65,3,40,heatmap_np201_pos2139_sppcalc10_na7915_ips6_ma65
248,4465,18,8,20,16,3,13,heatmap_np248_pos4546_sppcalc18_na4465_ips8_ma16
119,8729,39,10,20,13,3,10,heatmap_np119_pos4671_sppcalc39_na8729_ips10_ma13
248,7577,13,7,20,7,3,4,heatmap_np248_pos3348_sppcalc13_na7577_ips7_ma7
68,1875,61,7,20,54,3,40,heatmap_np68_pos4180_sppcalc61_na1875_ips7_ma54
318,812,12,7,20,46,3,40,heatmap_np318_pos3989_sppcalc12_na812_ips7_ma46
391,8802,10,6,20,29,3,26,heatmap_np391_pos4239_sppcalc10_na8802_ips6_ma29
269,6633,16,16,20,49,3,40,heatmap_np269_pos4494_sppcalc16_na6633_ips16_ma49
294,3025,5,13,20,25,3,22,heatmap_np294_pos1552_sppcalc5_na3025_ips13_ma25
347,3210,13,9,20,37,3,34,heatmap_np347_pos4621_sppcalc13_na3210_ips9_ma37
108,4952,1,14,20,51,3,40,heatmap_np108_pos185_sppcalc1_na4952_ips14_ma51
14,2453,300,18,20,6,3,3,heatmap_np14_pos4211_sppcalc300_na2453_ips18_ma6
36,7537,80,10,20,23,3,20,heatmap_np36_pos2888_sppcalc80_na7537_ips10_ma23
106,9788,13,5,20,38,3,35,heatmap_np106_pos1387_sppcalc13_na9788_ips5_ma38
344,2470,1,15,20,22,3,19,heatmap_np344_pos627_sppcalc1_na2470_ips15_ma22
38,2677,24,6,20,5,3,3,heatmap_np38_pos922_sppcalc24_na2677_ips6_ma5
229,4550,1,12,20,52,3,40,heatmap_np229_pos57_sppcalc1_na4550_ips12_ma52
225,1474,6,13,20,54,3,40,heatmap_np225_pos1563_sppcalc6_na1474_ips13_ma54
236,9084,3,18,20,23,3,20,heatmap_np236_pos782_sppcalc3_na9084_ips18_ma23
338,1408,2,8,20,74,3,40,heatmap_np338_pos691_sppcalc2_na1408_ips8_ma74
387,2068,1,7,20,35,3,32,heatmap_np387_pos463_sppcalc1_na2068_ips7_ma35
24,3552,155,17,20,16,3,13,heatmap_np24_pos3731_sppcalc155_na3552_ips17_ma16
318,9583,2,16,20,55,3,40,heatmap_np318_pos666_sppcalc2_na9583_ips16_ma55
29,5168,81,8,20,7,3,4,heatmap_np29_pos2355_sppcalc81_na5168_ips8_ma7
178,2217,10,6,20,54,3,40,heatmap_np178_pos1860_sppcalc10_na2217_ips6_ma54
159,4234,18,17,20,67,3,40,heatmap_np159_pos2974_sppcalc18_na4234_ips17_ma67
180,4721,4,18,20,8,3,5,heatmap_np180_pos852_sppcalc4_na4721_ips18_ma8
250,1242,4,18,20,59,3,40,heatmap_np250_pos1079_sppcalc4_na1242_ips18_ma59
396,5035,4,17,20,26,3,23,heatmap_np396_pos1897_sppcalc4_na5035_ips17_ma26
49,6813,50,6,20,47,3,40,heatmap_np49_pos2496_sppcalc50_na6813_ips6_ma47
49,2012,57,19,20,35,3,32,heatmap_np49_pos2831_sppcalc57_na2012_ips19_ma35
62,2888,8,14,20,7,3,4,heatmap_np62_pos522_sppcalc8_na2888_ips14_ma7
302,2038,15,19,20,30,3,27,heatmap_np302_pos4588_sppcalc15_na2038_ips19_ma30
307,5091,9,5,20,53,3,40,heatmap_np307_pos2802_sppcalc9_na5091_ips5_ma53
191,3184,17,13,20,62,3,40,heatmap_np191_pos3274_sppcalc17_na3184_ips13_ma62
322,503,10,20,20,22,3,19,heatmap_np322_pos3355_sppcalc10_na503_ips20_ma22
218,9847,19,11,20,10,3,7,heatmap_np218_pos4182_sppcalc19_na9847_ips11_ma10
186,7566,2,14,20,65,3,40,heatmap_np186_pos420_sppcalc2_na7566_ips14_ma65
290,2958,5,16,20,11,3,8,heatmap_np290_pos1588_sppcalc5_na2958_ips16_ma11
351,7319,12,17,20,10,3,7,heatmap_np351_pos4324_sppcalc12_na7319_ips17_ma10
180,562,22,17,20,6,3,3,heatmap_np180_pos4017_sppcalc22_na562_ips17_ma6
312,7045,4,13,20,32,3,29,heatmap_np312_pos1485_sppcalc4_na7045_ips13_ma32
223,2807,17,12,20,74,3,40,heatmap_np223_pos3834_sppcalc17_na2807_ips12_ma74
189,2777,1,17,20,26,3,23,heatmap_np189_pos34_sppcalc1_na2777_ips17_ma26
272,4824,14,16,20,50,3,40,heatmap_np272_pos3920_sppcalc14_na4824_ips16_ma50
389,1863,6,11,20,23,3,20,heatmap_np389_pos2374_sppcalc6_na1863_ips11_ma23
69,3695,23,9,20,44,3,40,heatmap_np69_pos1651_sppcalc23_na3695_ips9_ma44
100,125,12,6,20,65,3,40,heatmap_np100_pos1243_sppcalc12_na125_ips6_ma65
149,9209,11,18,20,9,3,6,heatmap_np149_pos1735_sppcalc11_na9209_ips18_ma9
355,7285,7,9,20,53,3,40,heatmap_np355_pos2672_sppcalc7_na7285_ips9_ma53
328,1079,12,7,20,45,3,40,heatmap_np328_pos4113_sppcalc12_na1079_ips7_ma45
361,9289,12,19,20,66,3,40,heatmap_np361_pos4543_sppcalc12_na9289_ips19_ma66
39,2317,52,20,20,30,3,27,heatmap_np39_pos2044_sppcalc52_na2317_ips20_ma30
283,9260,6,14,20,32,3,29,heatmap_np283_pos1857_sppcalc6_na9260_ips14_ma32
166,4811,13,20,20,12,3,9,heatmap_np166_pos2280_sppcalc13_na4811_ips20_ma12
67,7221,58,20,20,16,3,13,heatmap_np67_pos3950_sppcalc58_na7221_ips20_ma16
249,3661,11,6,20,36,3,33,heatmap_np249_pos2740_sppcalc11_na3661_ips6_ma36
132,3980,36,15,20,47,3,40,heatmap_np132_pos4848_sppcalc36_na3980_ips15_ma47
276,5609,7,11,20,16,3,13,heatmap_np276_pos1995_sppcalc7_na5609_ips11_ma16
123,257,21,9,20,48,3,40,heatmap_np123_pos2679_sppcalc21_na257_ips9_ma48
318,652,3,5,20,47,3,40,heatmap_np318_pos1194_sppcalc3_na652_ips5_ma47
332,1739,5,11,20,50,3,40,heatmap_np332_pos1983_sppcalc5_na1739_ips11_ma50
324,5422,2,11,20,65,3,40,heatmap_np324_pos706_sppcalc2_na5422_ips11_ma65
21,9025,229,13,20,8,3,5,heatmap_np21_pos4819_sppcalc229_na9025_ips13_ma8
209,7770,6,9,20,27,3,24,heatmap_np209_pos1412_sppcalc6_na7770_ips9_ma27
203,8555,18,7,20,51,3,40,heatmap_np203_pos3735_sppcalc18_na8555_ips7_ma51
325,5107,1,12,20,62,3,40,heatmap_np325_pos416_sppcalc1_na5107_ips12_ma62
116,5399,4,18,20,40,3,37,heatmap_np116_pos538_sppcalc4_na5399_ips18_ma40
303,3881,5,18,20,14,3,11,heatmap_np303_pos1564_sppcalc5_na3881_ips18_ma14
101,3933,31,7,20,51,3,40,heatmap_np101_pos3141_sppcalc31_na3933_ips7_ma51
343,1542,9,20,20,42,3,39,heatmap_np343_pos3304_sppcalc9_na1542_ips20_ma42
71,8466,50,6,20,31,3,28,heatmap_np71_pos3600_sppcalc50_na8466_ips6_ma31
27,4979,144,5,20,13,3,10,heatmap_np27_pos3894_sppcalc144_na4979_ips5_ma13
50,4264,62,13,20,9,3,6,heatmap_np50_pos3148_sppcalc62_na4264_ips13_ma9
400,486,4,17,20,66,3,40,heatmap_np400_pos1950_sppcalc4_na486_ips17_ma66
336,7325,4,12,20,74,3,40,heatmap_np336_pos1406_sppcalc4_na7325_ips12_ma74
291,3123,1,14,20,57,3,40,heatmap_np291_pos480_sppcalc1_na3123_ips14_ma57
58,446,72,20,20,55,3,40,heatmap_np58_pos4225_sppcalc72_na446_ips20_ma55
86,3530,44,16,20,71,3,40,heatmap_np86_pos3833_sppcalc44_na3530_ips16_ma71
362,826,1,5,20,43,3,40,heatmap_np362_pos64_sppcalc1_na826_ips5_ma43
241,171,9,19,20,27,3,24,heatmap_np241_pos2234_sppcalc9_na171_ips19_ma27
387,686,10,19,20,52,3,40,heatmap_np387_pos4202_sppcalc10_na686_ips19_ma52
79,8318,23,14,20,25,3,22,heatmap_np79_pos1827_sppcalc23_na8318_ips14_ma25
379,214,6,18,20,9,3,6,heatmap_np379_pos2609_sppcalc6_na214_ips18_ma9
97,7179,47,20,20,10,3,7,heatmap_np97_pos4609_sppcalc47_na7179_ips20_ma10
68,6483,51,13,20,45,3,40,heatmap_np68_pos3507_sppcalc51_na6483_ips13_ma45
58,6078,58,13,20,31,3,28,heatmap_np58_pos3414_sppcalc58_na6078_ips13_ma31
202,8708,19,10,20,41,3,38,heatmap_np202_pos3955_sppcalc19_na8708_ips10_ma41
314,55,6,20,20,18,3,15,heatmap_np314_pos2164_sppcalc6_na55_ips20_ma18
346,162,8,19,20,18,3,15,heatmap_np346_pos2816_sppcalc8_na162_ips19_ma18
151,8618,18,18,20,27,3,24,heatmap_np151_pos2832_sppcalc18_na8618_ips18_ma27
348,9120,1,12,20,57,3,40,heatmap_np348_pos76_sppcalc1_na9120_ips12_ma57
40,2935,66,7,20,29,3,26,heatmap_np40_pos2640_sppcalc66_na2935_ips7_ma29
263,7830,1,10,20,35,3,32,heatmap_np263_pos27_sppcalc1_na7830_ips10_ma35
58,318,71,13,20,55,3,40,heatmap_np58_pos4140_sppcalc71_na318_ips13_ma55
114,1077,5,7,20,34,3,31,heatmap_np114_pos658_sppcalc5_na1077_ips7_ma34
306,9966,7,14,20,8,3,5,heatmap_np306_pos2213_sppcalc7_na9966_ips14_ma8
168,7730,17,20,20,65,3,40,heatmap_np168_pos3013_sppcalc17_na7730_ips20_ma65
354,8207,10,14,20,34,3,31,heatmap_np354_pos3811_sppcalc10_na8207_ips14_ma34
367,9759,10,11,20,49,3,40,heatmap_np367_pos3729_sppcalc10_na9759_ips11_ma49
38,4920,116,20,20,36,3,33,heatmap_np38_pos4440_sppcalc116_na4920_ips20_ma36
119,471,17,12,20,13,3,10,heatmap_np119_pos2080_sppcalc17_na471_ips12_ma13
240,1754,10,13,20,74,3,40,heatmap_np240_pos2543_sppcalc10_na1754_ips13_ma74
111,6013,4,18,20,17,3,14,heatmap_np111_pos505_sppcalc4_na6013_ips18_ma17
351,5117,2,15,20,62,3,40,heatmap_np351_pos756_sppcalc2_na5117_ips15_ma62
30,859,94,12,20,18,3,15,heatmap_np30_pos2824_sppcalc94_na859_ips12_ma18
128,8791,38,20,20,6,3,3,heatmap_np128_pos4940_sppcalc38_na8791_ips20_ma6
225,9592,9,16,20,68,3,40,heatmap_np225_pos2140_sppcalc9_na9592_ips16_ma68
94,3305,22,6,20,48,3,40,heatmap_np94_pos2099_sppcalc22_na3305_ips6_ma48
117,4083,40,11,20,72,3,40,heatmap_np117_pos4769_sppcalc40_na4083_ips11_ma72
117,7551,23,7,20,55,3,40,heatmap_np117_pos2757_sppcalc23_na7551_ips7_ma55
92,1211,16,20,20,40,3,37,heatmap_np92_pos1544_sppcalc16_na1211_ips20_ma40
316,4138,4,7,20,35,3,32,heatmap_np316_pos1279_sppcalc4_na4138_ips7_ma35
259,1889,17,17,20,14,3,11,heatmap_np259_pos4427_sppcalc17_na1889_ips17_ma14
28,5574,83,15,20,22,3,19,heatmap_np28_pos2337_sppcalc83_na5574_ips15_ma22
136,1946,34,8,20,52,3,40,heatmap_np136_pos4752_sppcalc34_na1946_ips8_ma52
374,4741,13,13,20,47,3,40,heatmap_np374_pos4945_sppcalc13_na4741_ips13_ma47
244,858,14,7,20,42,3,39,heatmap_np244_pos3604_sppcalc14_na858_ips7_ma42
64,3457,1,19,20,57,3,40,heatmap_np64_pos102_sppcalc1_na3457_ips19_ma57
141,3279,12,10,20,36,3,33,heatmap_np141_pos1802_sppcalc12_na3279_ips10_ma36
385,3738,1,19,20,39,3,36,heatmap_np385_pos668_sppcalc1_na3738_ips19_ma39
195,7579,20,13,20,7,3,4,heatmap_np195_pos4045_sppcalc20_na7579_ips13_ma7
367,9704,5,17,20,15,3,12,heatmap_np367_pos1949_sppcalc5_na9704_ips17_ma15
197,8244,12,10,20,5,3,3,heatmap_np197_pos2460_sppcalc12_na8244_ips10_ma5
140,2554,32,11,20,33,3,30,heatmap_np140_pos4515_sppcalc32_na2554_ips11_ma33
306,3014,1,16,20,14,3,11,heatmap_np306_pos87_sppcalc1_na3014_ips16_ma14
84,1145,50,7,20,18,3,15,heatmap_np84_pos4209_sppcalc50_na1145_ips7_ma18
380,9987,6,20,20,38,3,35,heatmap_np380_pos2311_sppcalc6_na9987_ips20_ma38
241,6259,14,15,20,18,3,15,heatmap_np241_pos3556_sppcalc14_na6259_ips15_ma18
339,5643,1,10,20,65,3,40,heatmap_np339_pos91_sppcalc1_na5643_ips10_ma65
295,9348,10,10,20,62,3,40,heatmap_np295_pos3160_sppcalc10_na9348_ips10_ma62
201,6228,14,12,20,46,3,40,heatmap_np201_pos2896_sppcalc14_na6228_ips12_ma46
326,8546,8,17,20,74,3,40,heatmap_np326_pos2628_sppcalc8_na8546_ips17_ma74
347,7756,1,7,20,24,3,21,heatmap_np347_pos432_sppcalc1_na7756_ips7_ma24
259,1416,11,6,20,74,3,40,heatmap_np259_pos2969_sppcalc11_na1416_ips6_ma74
389,5010,12,13,20,74,3,40,heatmap_np389_pos4884_sppcalc12_na5010_ips13_ma74
173,9308,22,9,20,40,3,37,heatmap_np173_pos3889_sppcalc22_na9308_ips9_ma40
120,1406,21,16,20,46,3,40,heatmap_np120_pos2608_sppcalc21_na1406_ips16_ma46
32,8518,11,12,20,19,3,16,heatmap_np32_pos383_sppcalc11_na8518_ips12_ma19
224,7364,1,17,20,5,3,3,heatmap_np224_pos119_sppcalc1_na7364_ips17_ma5
294,309,9,8,20,56,3,40,heatmap_np294_pos2898_sppcalc9_na309_ips8_ma56
117,7493,13,18,20,75,3,40,heatmap_np117_pos1542_sppcalc13_na7493_ips18_ma75
181,3147,14,17,20,41,3,38,heatmap_np181_pos2578_sppcalc14_na3147_ips17_ma41
289,6381,15,15,20,47,3,40,heatmap_np289_pos4440_sppcalc15_na6381_ips15_ma47
88,1535,39,16,20,24,3,21,heatmap_np88_pos3497_sppcalc39_na1535_ips16_ma24
300,2025,13,13,20,71,3,40,heatmap_np300_pos4130_sppcalc13_na2025_ips13_ma71
166,9384,14,12,20,35,3,32,heatmap_np166_pos2339_sppcalc14_na9384_ips12_ma35
162,2518,8,10,20,72,3,40,heatmap_np162_pos1296_sppcalc8_na2518_ips10_ma72
133,8282,7,17,20,41,3,38,heatmap_np133_pos958_sppcalc7_na8282_ips17_ma41
230,4684,13,5,20,72,3,40,heatmap_np230_pos3054_sppcalc13_na4684_ips5_ma72
236,3781,5,16,20,52,3,40,heatmap_np236_pos1334_sppcalc5_na3781_ips16_ma52
146,8618,5,10,20,61,3,40,heatmap_np146_pos804_sppcalc5_na8618_ips10_ma61
66,441,30,16,20,49,3,40,heatmap_np66_pos2039_sppcalc30_na441_ips16_ma49
63,8730,53,12,20,41,3,38,heatmap_np63_pos3389_sppcalc53_na8730_ips12_ma41
239,4794,13,13,20,58,3,40,heatmap_np239_pos3132_sppcalc13_na4794_ips13_ma58
238,5833,16,12,20,45,3,40,heatmap_np238_pos3871_sppcalc16_na5833_ips12_ma45
372,6216,6,5,20,67,3,40,heatmap_np372_pos2310_sppcalc6_na6216_ips5_ma67
327,9470,5,19,20,28,3,25,heatmap_np327_pos1834_sppcalc5_na9470_ips19_ma28
38,432,80,18,20,8,3,5,heatmap_np38_pos3057_sppcalc80_na432_ips18_ma8
48,2423,30,17,20,30,3,27,heatmap_np48_pos1446_sppcalc30_na2423_ips17_ma30
81,7695,60,10,20,48,3,40,heatmap_np81_pos4865_sppcalc60_na7695_ips10_ma48
279,6530,2,5,20,47,3,40,heatmap_np279_pos690_sppcalc2_na6530_ips5_ma47
270,6576,1,20,20,49,3,40,heatmap_np270_pos229_sppcalc1_na6576_ips20_ma49
90,9901,44,13,20,13,3,10,heatmap_np90_pos4011_sppcalc44_na9901_ips13_ma13
324,8925,8,20,20,26,3,23,heatmap_np324_pos2702_sppcalc8_na8925_ips20_ma26
144,447,30,7,20,37,3,34,heatmap_np144_pos4331_sppcalc30_na447_ips7_ma37
71,952,21,15,20,40,3,37,heatmap_np71_pos1531_sppcalc21_na952_ips15_ma40
25,1260,156,9,20,7,3,4,heatmap_np25_pos3909_sppcalc156_na1260_ips9_ma7
317,6160,5,15,20,12,3,9,heatmap_np317_pos1724_sppcalc5_na6160_ips15_ma12
47,1757,53,6,20,7,3,4,heatmap_np47_pos2497_sppcalc53_na1757_ips6_ma7
33,6667,39,8,20,10,3,7,heatmap_np33_pos1312_sppcalc39_na6667_ips8_ma10
226,3251,8,13,20,70,3,40,heatmap_np226_pos1815_sppcalc8_na3251_ips13_ma70
241,3657,15,10,20,53,3,40,heatmap_np241_pos3759_sppcalc15_na3657_ips10_ma53
106,2159,19,7,20,7,3,4,heatmap_np106_pos2075_sppcalc19_na2159_ips7_ma7
218,6822,10,13,20,45,3,40,heatmap_np218_pos2212_sppcalc10_na6822_ips13_ma45
161,7455,1,9,20,54,3,40,heatmap_np161_pos41_sppcalc1_na7455_ips9_ma54
163,1332,1,10,20,16,3,13,heatmap_np163_pos234_sppcalc1_na1332_ips10_ma16
14,7605,290,11,20,8,3,5,heatmap_np14_pos4062_sppcalc290_na7605_ips11_ma8
199,8789,17,15,20,13,3,10,heatmap_np199_pos3436_sppcalc17_na8789_ips15_ma13
140,4709,10,18,20,44,3,40,heatmap_np140_pos1502_sppcalc10_na4709_ips18_ma44
248,8353,13,17,20,64,3,40,heatmap_np248_pos3319_sppcalc13_na8353_ips17_ma64
283,967,5,13,20,40,3,37,heatmap_np283_pos1467_sppcalc5_na967_ips13_ma40
294,2353,1,20,20,24,3,21,heatmap_np294_pos21_sppcalc1_na2353_ips20_ma24
227,7655,2,10,20,21,3,18,heatmap_np227_pos539_sppcalc2_na7655_ips10_ma21
289,2443,5,15,20,42,3,39,heatmap_np289_pos1625_sppcalc5_na2443_ips15_ma42
214,3386,4,14,20,50,3,40,heatmap_np214_pos870_sppcalc4_na3386_ips14_ma50
212,7376,1,11,20,34,3,31,heatmap_np212_pos125_sppcalc1_na7376_ips11_ma34
344,5550,5,8,20,68,3,40,heatmap_np344_pos1880_sppcalc5_na5550_ips8_ma68
199,7365,6,18,20,67,3,40,heatmap_np199_pos1271_sppcalc6_na7365_ips18_ma67
243,5872,11,14,20,52,3,40,heatmap_np243_pos2743_sppcalc11_na5872_ips14_ma52
112,2157,10,15,20,41,3,38,heatmap_np112_pos1209_sppcalc10_na2157_ips15_ma41
188,241,4,15,20,36,3,33,heatmap_np188_pos824_sppcalc4_na241_ips15_ma36
103,3396,20,15,20,28,3,25,heatmap_np103_pos2156_sppcalc20_na3396_ips15_ma28
378,4850,9,18,20,45,3,40,heatmap_np378_pos3617_sppcalc9_na4850_ips18_ma45
196,5404,17,12,20,10,3,7,heatmap_np196_pos3397_sppcalc17_na5404_ips12_ma10
32,9417,127,8,20,6,3,3,heatmap_np32_pos4088_sppcalc127_na9417_ips8_ma6
157,4201,1,15,20,39,3,36,heatmap_np157_pos186_sppcalc1_na4201_ips15_ma39
177,8517,14,19,20,22,3,19,heatmap_np177_pos2649_sppcalc14_na8517_ips19_ma22
388,2844,11,15,20,64,3,40,heatmap_np388_pos4651_sppcalc11_na2844_ips15_ma64
385,193,8,12,20,40,3,37,heatmap_np385_pos3254_sppcalc8_na193_ips12_ma40
167,3801,20,10,20,60,3,40,heatmap_np167_pos3389_sppcalc20_na3801_ips10_ma60
246,2475,8,20,20,73,3,40,heatmap_np246_pos2055_sppcalc8_na2475_ips20_ma73
21,8122,46,10,20,21,3,18,heatmap_np21_pos981_sppcalc46_na8122_ips10_ma21
242,2594,5,11,20,28,3,25,heatmap_np242_pos1325_sppcalc5_na2594_ips11_ma28
316,1867,15,17,20,28,3,25,heatmap_np316_pos4931_sppcalc15_na1867_ips17_ma28
252,9917,7,14,20,36,3,33,heatmap_np252_pos1862_sppcalc7_na9917_ips14_ma36
183,6063,8,10,20,9,3,6,heatmap_np183_pos1616_sppcalc8_na6063_ips10_ma9
100,739,16,15,20,55,3,40,heatmap_np100_pos1650_sppcalc16_na739_ips15_ma55
76,6950,10,17,20,28,3,25,heatmap_np76_pos771_sppcalc10_na6950_ips17_ma28
240,3080,7,15,20,65,3,40,heatmap_np240_pos1787_sppcalc7_na3080_ips15_ma65
188,7865,12,15,20,16,3,13,heatmap_np188_pos2311_sppcalc12_na7865_ips15_ma16
96,4815,49,17,20,48,3,40,heatmap_np96_pos4774_sppcalc49_na4815_ips17_ma48
220,360,18,17,20,31,3,28,heatmap_np220_pos3960_sppcalc18_na360_ips17_ma31
279,3271,17,12,20,55,3,40,heatmap_np279_pos4760_sppcalc17_na3271_ips12_ma55
345,2102,1,9,20,31,3,28,heatmap_np345_pos540_sppcalc1_na2102_ips9_ma31
26,8793,176,17,20,20,3,17,heatmap_np26_pos4594_sppcalc176_na8793_ips17_ma20
150,3152,1,5,20,61,3,40,heatmap_np150_pos88_sppcalc1_na3152_ips5_ma61
35,7732,36,5,20,7,3,4,heatmap_np35_pos1267_sppcalc36_na7732_ips5_ma7
145,9322,7,12,20,66,3,40,heatmap_np145_pos1111_sppcalc7_na9322_ips12_ma66
183,8085,25,18,20,43,3,40,heatmap_np183_pos4686_sppcalc25_na8085_ips18_ma43
331,9929,7,17,20,52,3,40,heatmap_np331_pos2429_sppcalc7_na9929_ips17_ma52
191,409,24,16,20,72,3,40,heatmap_np191_pos4666_sppcalc24_na409_ips16_ma72
24,2814,40,10,20,9,3,6,heatmap_np24_pos980_sppcalc40_na2814_ips10_ma9
236,8233,14,18,20,20,3,17,heatmap_np236_pos3466_sppcalc14_na8233_ips18_ma20
257,9349,7,11,20,10,3,7,heatmap_np257_pos1975_sppcalc7_na9349_ips11_ma10
304,6832,5,11,20,64,3,40,heatmap_np304_pos1678_sppcalc5_na6832_ips11_ma64
125,7796,32,11,20,14,3,11,heatmap_np125_pos4105_sppcalc32_na7796_ips11_ma14
167,1701,1,8,20,51,3,40,heatmap_np167_pos28_sppcalc1_na1701_ips8_ma51
312,7023,14,8,20,43,3,40,heatmap_np312_pos4536_sppcalc14_na7023_ips8_ma43
285,7345,9,20,20,8,3,5,heatmap_np285_pos2635_sppcalc9_na7345_ips20_ma8
355,1743,1,16,20,53,3,40,heatmap_np355_pos28_sppcalc1_na1743_ips16_ma53
143,6365,16,10,20,22,3,19,heatmap_np143_pos2404_sppcalc16_na6365_ips10_ma22
125,9747,3,6,20,35,3,32,heatmap_np125_pos472_sppcalc3_na9747_ips6_ma35
119,6930,24,20,20,32,3,29,heatmap_np119_pos2915_sppcalc24_na6930_ips20_ma32
213,2777,12,6,20,52,3,40,heatmap_np213_pos2606_sppcalc12_na2777_ips6_ma52
143,8599,8,11,20,36,3,33,heatmap_np143_pos1163_sppcalc8_na8599_ips11_ma36
339,9207,12,13,20,30,3,27,heatmap_np339_pos4308_sppcalc12_na9207_ips13_ma30
226,6641,6,14,20,27,3,24,heatmap_np226_pos1464_sppcalc6_na6641_ips14_ma27
130,9296,18,13,20,53,3,40,heatmap_np130_pos2363_sppcalc18_na9296_ips13_ma53
52,4156,14,6,20,22,3,19,heatmap_np52_pos740_sppcalc14_na4156_ips6_ma22
266,671,2,5,20,42,3,39,heatmap_np266_pos659_sppcalc2_na671_ips5_ma42
128,309,16,5,20,62,3,40,heatmap_np128_pos2098_sppcalc16_na309_ips5_ma62
148,7195,32,15,20,74,3,40,heatmap_np148_pos4767_sppcalc32_na7195_ips15_ma74
127,2958,22,19,20,67,3,40,heatmap_np127_pos2805_sppcalc22_na2958_ips19_ma67
88,4389,13,7,20,10,3,7,heatmap_np88_pos1177_sppcalc13_na4389_ips7_ma10
38,6327,73,9,20,14,3,11,heatmap_np38_pos2796_sppcalc73_na6327_ips9_ma14
250,7852,12,6,20,10,3,7,heatmap_np250_pos3003_sppcalc12_na7852_ips6_ma10
189,8477,14,9,20,23,3,20,heatmap_np189_pos2722_sppcalc14_na8477_ips9_ma23
211,8414,20,17,20,40,3,37,heatmap_np211_pos4255_sppcalc20_na8414_ips17_ma40
317,7903,6,11,20,20,3,17,heatmap_np317_pos2145_sppcalc6_na7903_ips11_ma20
348,6621,13,5,20,46,3,40,heatmap_np348_pos4593_sppcalc13_na6621_ips5_ma46
262,6805,1,9,20,11,3,8,heatmap_np262_pos510_sppcalc1_na6805_ips9_ma11
164,8006,16,20,20,10,3,7,heatmap_np164_pos2771_sppcalc16_na8006_ips20_ma10
133,6687,20,11,20,40,3,37,heatmap_np133_pos2707_sppcalc20_na6687_ips11_ma40
212,8252,8,5,20,51,3,40,heatmap_np212_pos1739_sppcalc8_na8252_ips5_ma51
180,4590,11,19,20,51,3,40,heatmap_np180_pos2065_sppcalc11_na4590_ips19_ma51
331,5623,2,11,20,52,3,40,heatmap_np331_pos791_sppcalc2_na5623_ips11_ma52
64,9174,19,8,20,41,3,38,heatmap_np64_pos1242_sppcalc19_na9174_ips8_ma41
304,6414,9,9,20,51,3,40,heatmap_np304_pos2870_sppcalc9_na6414_ips9_ma51
81,9546,15,11,20,56,3,40,heatmap_np81_pos1215_sppcalc15_na9546_ips11_ma56
345,1842,8,12,20,62,3,40,heatmap_np345_pos3036_sppcalc8_na1842_ips12_ma62
161,3973,21,5,20,52,3,40,heatmap_np161_pos3403_sppcalc21_na3973_ips5_ma52
64,5943,77,11,20,50,3,40,heatmap_np64_pos4945_sppcalc77_na5943_ips11_ma50
