n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,reviews_per_program_best_rpp
159,5852,7020,7,53,310.3827044025158
606,3259,15115,18,21,124.84150165016504
550,8162,2497,12,6,27.24
301,871,10557,13,36,70.14617940199335
370,9892,16578,15,43,451.2998648648648
418,2342,6658,10,13,68.69282296650718
733,7206,12043,20,27,215.3502728512961
91,4949,2157,5,60,316.9895604395604
494,5240,17722,6,33,107.62348178137653
344,2544,5168,19,8,120.18604651162792
228,6716,3711,17,16,260.421052631579
573,4269,9137,8,41,81.04895287958115
677,9319,8194,14,55,219.93205317577556
135,1588,13585,11,32,201.25925925925924
111,8867,548,20,38,187.6036036036036
653,1415,12577,5,7,20.072970903522204
598,6553,5036,15,19,157.57608695652172
253,3808,17028,10,51,201.9130434782609
319,5413,10129,12,58,249.0918495297805
469,2995,4141,13,26,99.49061833688698
784,8094,14559,7,15,93.64241071428572
68,7038,15246,14,10,1569.441176470588
709,4493,7714,11,35,89.48913963328631
443,9426,10707,17,47,413.0055304740407
395,2183,3208,8,24,57.83772151898734
275,8618,5683,6,30,227.5354545454545
524,1039,16166,19,54,42.609923664122135
629,6011,1164,9,43,78.44324324324324
183,3724,11613,16,17,381.1415300546449
199,8287,17709,18,59,853.8206030150756
646,748,5541,7,29,17.637383900928796
516,5680,13169,13,12,178.87160852713174
267,3434,1035,12,44,155.81254681647937
386,7370,8146,10,37,232.94261658031087
433,4788,13993,15,5,161.55508083140876
723,9758,3627,5,22,78.74384508990319
82,2478,9440,20,52,690.7317073170731
57,5121,2589,16,31,1258.427192982456
800,2666,10263,9,56,51.40037500000001
460,7802,7077,19,40,343.9010869565218
243,9161,12171,8,9,358.91440329218113
588,1748,1827,17,33,46.81972789115646
668,6846,16600,11,50,149.4254491017964
125,4141,6293,14,25,522.6776
151,6385,11255,5,46,298.14569536423835
693,3978,3019,20,14,60.98989898989901
564,8987,15689,10,27,194.82047872340428
219,1297,7490,15,57,105.56940639269408
334,7965,1678,13,51,256.2215568862275
484,524,11459,12,20,24.98409090909091
775,5572,6162,18,7,55.6567741935484
108,9599,4566,11,18,761.0
749,2012,17296,14,42,47.99232309746328
409,6914,43,8,55,5.782396088019562
361,4619,12739,17,29,248.2034626038782
291,6146,14125,19,23,457.3833333333333
540,3592,8840,6,48,63.501851851851846
620,8455,9589,16,34,246.4125
174,1205,4338,9,11,75.67270114942528
176,8469,5529,20,21,659.7102272727274
620,1188,17663,5,52,28.488709677419354
539,6159,1046,15,37,71.80333951762525
293,3577,13215,10,5,141.85529010238906
359,6888,13934,12,12,272.13175487465185
410,4643,8122,13,44,180.5006097560976
750,9574,9499,7,59,114.5826
105,2035,3651,18,29,388.92
774,2852,2582,11,24,44.57286821705426
483,7950,14756,17,10,305.49120082815745
336,537,7084,8,33,21.186160714285712
217,9011,1799,6,40,270.276267281106
565,1271,12107,19,16,64.35814159292036
694,6408,6322,9,32,104.36750720461092
149,3952,16664,16,57,559.1946308724833
125,6859,2995,7,7,167.71999999999997
670,4125,11196,18,39,138.22970149253734
590,9174,7514,12,50,218.07669491525425
242,1733,15749,13,20,130.1570247933884
311,7776,11413,15,27,439.1430868167202
798,5096,15953,20,46,160.1179824561404
58,2688,6173,5,14,319.293103448276
82,9742,17233,9,35,1260.9512195121947
726,2491,4538,16,11,56.965151515151526
436,7355,12802,6,22,127.05561926605506
385,4801,71,19,48,8.851948051948053
268,5703,8833,17,55,424.6378731343283
513,3408,14083,8,30,82.35672514619884
643,8310,4345,14,18,121.63297045101088
200,723,9631,11,41,66.12575000000001
186,5997,15051,5,28,242.75806451612897
629,3741,6991,20,60,129.59689984101752
523,8605,10621,10,43,203.73298279158695
278,1055,2525,15,13,59.73579136690647
393,9452,6651,13,6,101.54198473282445
444,2160,16537,12,37,74.78896396396394
709,7063,2163,18,53,161.688293370945
65,4470,12085,7,21,560.2684615384615
468,5429,5191,8,15,107.07863247863249
321,2982,17781,17,40,221.5700934579439
251,6529,9091,19,34,551.4296812749005
599,3833,3699,6,9,44.67537562604341
654,8844,13631,16,25,248.70420489296637
108,1440,8206,9,48,154.51712962962966
134,9305,12535,18,14,1309.6268656716418
679,1604,541,7,45,20.436597938144327
575,6703,17070,13,58,182.59321739130436
227,4284,5043,12,26,253.5325991189428
345,5266,4112,10,19,171.68420289855072
492,2521,10066,15,51,103.835162601626
758,7658,8635,5,38,71.28100263852242
18,206,14623,20,8,812.3888888888889
91,7222,7703,16,42,1372.6835164835163
735,4936,15200,9,17,82.81367346938777
420,9907,3219,19,31,237.5928571428572
369,2328,10752,6,54,59.52926829268292
302,8139,16106,8,47,266.6556291390728
547,897,5659,17,23,31.36553930530165
